,0.8239700374531835
0,0.8239700374531835
1,0.8239700374531835
2,0.8239700374531835
3,0.8239700374531835
4,0.8239700374531835
5,0.8239700374531835
6,0.8239700374531835
7,0.8239700374531835
8,0.8239700374531835
9,0.8239700374531835
10,0.8239700374531835
11,0.8239700374531835
12,0.8239700374531835
13,0.8239700374531835
14,0.8239700374531835
15,0.8239700374531835
16,0.8239700374531835
17,0.8239700374531835
18,0.8239700374531835
19,0.8239700374531835
20,0.8239700374531835
21,0.8239700374531835
22,0.8239700374531835
23,0.8239700374531835
24,0.8239700374531835
25,0.8239700374531835
26,0.8239700374531835
27,0.8239700374531835
28,0.8239700374531835
29,0.8239700374531835
30,0.8239700374531835
31,0.8239700374531835
32,0.8239700374531835
33,0.8239700374531835
34,0.8239700374531835
35,0.8239700374531835
36,0.8239700374531835
37,0.8239700374531835
38,0.8239700374531835
39,0.8239700374531835
40,0.8239700374531835
41,0.8239700374531835
42,0.8239700374531835
43,0.8239700374531835
44,0.8239700374531835
45,0.8239700374531835
46,0.8239700374531835
47,0.8239700374531835
48,0.8239700374531835
